channel,text,url,label,label_name
email,URGENT: Your PayPal account will be SUSPENDED. Verify now: http://paypa1-secure-login.tk/update?session=4030 Enter password and CVV.,http://paypa1-secure-login.tk/update?session=4030,2,Phishing
chat,Sending the notes in a minute.,,0,Safe
url,,https://appleid.apple.com.recover-account.gq/signin,2,Phishing
sms,You have a pending refund. Call this number when free.,http://tinyurl.com/verify3121,1,Suspicious
url, Kindly review.,http://192.168.14.22/paypal/login/verify,2,Phishing
sms,Electricity bill auto-pay went through. Amount is the usual monthly charge. Sent from my phone.,,0,Safe
url,,http://microsoft-office365-login.xyz/secure@account,2,Phishing
chat,Sending the notes in a minute.,,0,Safe
url,,https://support.microsoft.com/en-us/account,0,Safe
url,,https://stackoverflow.com/questions,0,Safe
sms,Bank: confirm recent purchase of $3111 if you do not recognise it. Thread 86.,https://secure-login-update.xyz/account,1,Suspicious
sms,Class cancelled tomorrow. New slot posted on the LMS.,,0,Safe
email,Your package from the bookstore was delivered today. Track it in your orders page.,,0,Safe
url,,https://appleid.apple.com.recover-account.gq/signin,2,Phishing
url,,https://www.netflix.com/login,0,Safe
url, Thanks.,https://support.microsoft.com/en-us/account,0,Safe
sms,"Congratulations winner! Claim prize, send gift cards to this chat then open http://192.168.14.22/paypal/login/verify Thread 86.",http://192.168.14.22/paypal/login/verify,2,Phishing
url,,http://paypa1-secure-login.tk/update?session=4357,2,Phishing
email,Your subscription renewal for the news app succeeded. Next bill is next month.,,0,Safe
url,,https://drive-share.top/view?id=3303,1,Suspicious
url,,http://tinyurl.com/verify3338,1,Suspicious
chat,Can you share the GitHub repo link when you have a second?,,0,Safe
sms,Pharmacy: your prescription is ready for pickup until 8pm. Sent from my phone.,,0,Safe
sms,Class cancelled tomorrow. New slot posted on the LMS.,,0,Safe
chat,Sending the notes in a minute.,,0,Safe
sms,Bank: confirm recent purchase of $3115 if you do not recognise it. Verify only if you recognise this.,http://bit.ly/acc-3115,1,Suspicious
chat,Bro I need you to buy $200 bitcoin gift cards and send codes. Urgent family emergency. Sent from my phone.,http://192.168.14.22/paypal/login/verify,2,Phishing
url, Thanks.,http://accounts.google.com.user-check.tk/login,1,Suspicious
url,,http://bit.ly/pay-now-4330,2,Phishing
chat,Hey can you check this file for me? Looks official but I am not sure.,,1,Suspicious
url,,https://secure-login-update.xyz/account,1,Suspicious
sms,Pak-Post: pay Rs 4114 customs. Enter CVV at http://microsoft-office365-login.xyz/secure@account or item returned. Please ignore if already done.,http://microsoft-office365-login.xyz/secure@account,2,Phishing
